date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price,power cut schedule,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2019-08-01,49,0,49,0,30,0,43,59,28,42,24,75,32,54,13,35,34,45,75,37,33,32,33,86,33,38,4,30,26,50,0,0,18,28,28,0,70,54,0,23,1,32,80,31
2019-09-01,45,0,49,0,33,0,29,67,45,44,41,51,57,49,45,50,46,45,96,35,100,42,36,61,34,47,4,34,26,40,0,0,24,44,29,0,88,48,0,29,0,32,99,34
2019-10-01,45,0,55,22,32,0,42,74,45,37,42,47,67,55,34,39,56,40,90,25,55,43,35,52,30,43,4,37,32,46,0,0,17,30,30,66,80,40,0,29,1,35,94,32
2019-11-01,49,0,78,0,30,0,25,74,36,52,32,46,58,53,35,34,58,37,88,19,23,35,30,37,23,43,5,35,29,45,0,0,13,20,32,0,40,33,0,36,0,31,87,30
2019-12-01,50,0,65,0,31,0,25,62,34,51,29,45,51,54,33,34,49,35,79,21,42,37,37,39,23,38,4,32,38,34,92,10,13,22,23,0,29,36,0,26,1,20,76,28
2020-01-01,51,0,57,0,32,0,24,68,40,50,37,54,49,49,32,41,52,38,85,18,30,37,34,37,14,42,3,32,33,38,0,0,0,21,16,0,23,32,0,27,1,23,81,31
2020-02-01,47,0,48,0,28,0,0,72,40,44,29,67,35,48,19,40,50,33,77,16,18,36,29,35,16,37,2,30,28,37,0,0,15,19,25,0,19,23,0,21,1,23,77,28
2020-03-01,57,0,47,0,31,0,30,60,45,50,60,100,38,54,21,27,100,26,59,9,20,25,13,13,14,48,3,33,26,25,71,0,8,21,25,0,5,0,0,41,3,21,84,21
2020-04-01,63,0,65,0,36,0,26,77,45,59,34,61,40,65,27,29,89,29,60,7,11,30,10,11,21,57,3,34,34,30,0,9,0,27,40,0,3,0,0,43,4,22,84,23
2020-05-01,56,0,62,0,36,0,30,85,42,51,60,49,39,52,19,21,80,27,70,7,9,28,12,18,25,48,2,33,29,28,0,11,9,15,28,0,0,0,0,35,2,24,82,24
2020-06-01,50,0,51,0,34,0,25,73,38,42,45,47,42,48,18,40,63,27,82,12,14,29,20,25,16,43,2,33,34,30,0,0,0,12,19,0,4,0,0,34,2,15,76,25
2020-07-01,44,44,46,0,31,0,45,70,36,44,35,52,39,47,32,33,49,27,72,19,0,70,32,39,19,36,2,31,24,36,0,0,0,10,36,0,9,19,0,31,1,9,69,26
2020-08-01,49,0,46,0,38,0,37,63,33,45,30,64,49,53,20,33,49,30,75,19,13,20,23,55,24,35,3,29,30,40,0,16,13,17,22,78,11,25,0,22,1,6,63,23
2020-09-01,46,0,53,19,34,0,40,60,36,42,24,62,44,49,32,31,59,32,78,16,9,29,25,47,18,40,3,33,47,36,0,0,0,21,19,0,10,22,0,40,2,6,68,27
2020-10-01,46,0,55,0,30,0,26,60,35,44,49,62,48,45,19,45,78,29,74,10,16,28,25,29,19,39,2,32,19,25,0,0,0,13,16,0,5,0,0,32,5,7,71,21
2020-11-01,54,0,86,0,30,0,25,66,37,45,28,61,33,49,30,32,79,28,64,7,13,21,25,17,18,39,1,34,22,26,91,0,0,11,15,0,4,0,0,35,5,8,66,21
2020-12-01,50,0,71,0,36,0,0,69,35,41,29,54,37,53,18,31,63,24,60,7,14,22,28,14,17,35,2,32,38,24,0,0,9,11,0,0,4,0,0,28,4,7,62,19
2021-01-01,53,0,59,0,37,0,0,68,39,48,35,61,49,49,20,37,58,30,64,7,16,29,28,15,16,41,2,36,37,27,0,0,9,16,27,0,4,23,0,29,8,13,70,22
2021-02-01,53,0,57,0,45,0,0,63,38,44,41,60,26,49,26,38,68,29,65,7,21,27,27,19,12,42,2,37,28,37,0,0,13,11,25,0,6,23,0,26,7,10,67,24
2021-03-01,52,0,53,0,47,0,32,75,39,51,37,51,40,50,32,49,65,28,58,13,15,32,26,13,15,42,1,37,44,29,0,0,0,11,18,0,6,0,0,26,8,13,67,24
2021-04-01,51,45,49,0,42,0,51,63,40,59,29,51,38,53,26,37,57,25,56,11,14,44,25,14,18,41,2,36,60,25,0,0,0,10,19,0,0,0,0,25,8,15,63,24
2021-05-01,46,0,48,0,49,0,24,77,39,53,47,56,48,52,27,24,59,27,63,12,13,25,28,27,19,39,3,33,44,24,0,0,10,16,20,0,4,29,0,26,9,15,66,23
2021-06-01,50,0,48,0,51,0,0,64,40,41,32,56,35,50,25,49,48,25,63,18,13,27,28,39,27,36,2,29,30,28,0,0,0,14,29,0,10,34,0,24,5,12,69,22
2021-07-01,48,0,50,0,49,0,40,61,39,54,32,58,37,54,29,44,43,26,60,25,11,20,29,60,26,34,2,30,28,36,0,0,11,14,31,0,19,43,0,21,4,9,63,23
2021-08-01,48,0,41,0,42,0,0,53,42,51,23,70,28,52,18,21,38,34,56,25,13,19,25,78,23,30,2,28,44,42,0,0,0,10,0,0,24,36,0,37,3,9,70,17
2021-09-01,45,0,46,0,53,0,27,54,40,41,36,50,42,51,31,35,44,31,68,19,15,26,31,59,18,38,2,31,35,32,0,0,0,12,24,0,27,28,0,38,6,7,77,18
2021-10-01,45,0,54,0,60,0,64,61,43,38,35,47,42,51,22,43,51,32,64,15,15,23,28,50,18,35,3,32,34,26,0,0,13,11,30,0,21,26,0,33,8,11,65,15
2021-11-01,48,0,77,24,67,0,32,63,39,47,45,45,39,55,26,32,56,32,65,14,13,35,26,40,18,37,3,34,0,34,0,0,0,10,33,0,20,35,0,33,9,11,62,16
2021-12-01,48,0,59,0,70,0,50,71,38,56,60,44,47,57,30,30,71,32,52,13,17,29,26,37,16,31,3,33,31,28,0,0,0,17,34,0,14,26,0,32,6,12,54,15
2022-01-01,61,0,64,20,67,0,25,80,46,77,55,49,57,58,23,45,86,35,70,13,14,35,29,30,21,42,3,38,51,44,0,15,0,13,43,0,10,23,0,30,8,15,66,17
2022-02-01,55,0,58,0,76,0,33,79,45,63,59,56,51,53,30,45,64,39,75,16,21,30,29,38,19,41,3,36,35,50,0,9,0,17,43,0,10,19,0,39,9,18,72,18
2022-03-01,59,0,73,31,95,0,47,83,47,68,60,62,64,57,36,56,66,43,77,19,19,34,26,38,19,43,3,37,58,54,59,11,13,16,58,60,17,35,0,49,14,15,83,19
2022-04-01,65,0,61,25,96,0,48,85,43,59,62,44,66,62,26,46,57,42,67,24,16,32,30,53,22,39,3,35,66,46,72,10,9,13,28,52,29,29,0,36,9,13,72,18
2022-05-01,54,0,65,27,91,0,54,81,42,56,51,42,60,56,35,43,64,40,68,27,16,27,32,53,22,39,2,34,68,51,66,18,12,19,38,48,39,47,0,39,8,9,81,18
2022-06-01,56,41,55,29,100,0,61,95,42,64,51,50,48,57,29,42,57,49,68,32,20,34,23,64,27,37,4,33,66,55,0,17,12,17,40,0,56,70,0,100,11,11,82,18
2022-07-01,90,40,57,0,97,0,55,84,42,69,55,59,37,60,34,46,49,45,61,37,19,24,19,74,55,35,3,35,78,63,0,26,10,13,35,0,51,61,0,39,7,10,98,27
2022-08-01,57,0,52,0,84,0,26,63,34,70,38,54,40,58,25,40,43,41,63,34,15,22,27,82,33,35,4,31,36,63,0,0,0,14,28,0,36,79,0,30,6,9,87,26
2022-09-01,52,0,56,23,98,0,53,83,39,59,50,47,51,60,27,46,53,47,75,26,10,33,27,60,30,40,2,36,44,57,0,0,0,18,22,0,54,50,0,37,9,8,99,28
2022-10-01,54,0,65,22,90,0,42,78,39,53,59,45,56,57,23,42,59,41,74,18,18,27,31,51,24,38,3,36,46,58,0,14,0,17,38,0,45,36,0,58,10,7,100,29
2022-11-01,54,0,100,23,84,0,61,81,39,78,76,42,54,59,34,36,62,37,74,13,22,32,30,44,37,40,3,38,64,53,0,0,14,9,31,0,21,48,0,50,7,7,95,25
